r_vec,x_vec,xr_vec,e_vec,par_vec,reg_vec,par_dot_vec,u_vec,enc_u_vec
0.0995,"[[0.015727875]
 [0.16767074999999998]]","[[0.020218375]
 [0.15160812499999998]]","[[-0.0044905]
 [0.016062625]]","[[1.5106801433029688]
 [0.01743709207279]]","[[0.7517499999999999]
 [0.16767074999999998]]","[[-2.1716646089375002]
 [-0.19374979736043754]]",[[1.1386405506250001]],1452.91504006755
0.10400000000000001,"[[0.017444499999999998]
 [0.1756239375]]","[[0.0217883125]
 [0.1587228125]]","[[-0.0043438125]
 [0.016901125]]","[[1.489033353910625]
 [0.015562502026395626]]","[[0.7585]
 [0.1756239375]]","[[-2.3640847409375003]
 [-0.21895540109295708]]",[[1.1321286710312501]],1453.16816388814
0.1085,"[[0.0192395]
 [0.1833551875]]","[[0.023360937499999998]
 [0.16612806249999998]]","[[-0.0041214375]
 [0.017227125]]","[[1.465359152590625]
 [0.013310445989070429]]","[[0.76525]
 [0.1833551875]]","[[-2.4279075271250004]
 [-0.2326947620505391]]",[[1.123712018734375]],1452.73889528944
0.113,"[[0.021110624999999997]
 [0.19085]]","[[0.024935937499999998]
 [0.1737638125]]","[[-0.0038253124999999997]
 [0.0170861875]]","[[1.4409709247287499]
 [0.010923052379494608]]","[[0.7739999999999999]
 [0.19085]]","[[-2.4375031492500003]
 [-0.24041483045937503]]",[[1.11743335]],1452.85696539876
0.11775000000000001,"[[0.023055687499999998]
 [0.19813424999999998]]","[[0.026760625]
 [0.1813395]]","[[-0.0037049375]
 [0.01679475]]","[[1.4166249685075]
 [0.008595851695406248]]","[[0.78275]
 [0.19813424999999998]]","[[-2.3947264661562504]
 [-0.24246977283464066]]",[[1.110449516125]],1452.56317969322
0.1225,"[[0.025072499999999998]
 [0.205205125]]","[[0.028585625]
 [0.18897524999999998]]","[[-0.0035131249999999998]
 [0.016229874999999998]]","[[1.3925527353384377]
 [0.006075302271653594]]","[[0.7955]
 [0.205205125]]","[[-2.2272432865000003]
 [-0.22981672229988284]]",[[1.1089649807500002]],1452.93826128645
0.12725,"[[0.02715925]
 [0.21212124999999998]]","[[0.030413]
 [0.1968415]]","[[-0.0032537499999999997]
 [0.01527975]]","[[1.3702275671350002]
 [0.003701832777001172]]","[[0.8039999999999999]
 [0.21212124999999998]]","[[-2.0010570075000005]
 [-0.21118085021085942]]",[[1.1024764546875]],1450.86243623916
0.13225,"[[0.029314125]
 [0.2188361875]]","[[0.0324900625]
 [0.20464768749999998]]","[[-0.0031759375]
 [0.0141885]]","[[1.3502394299249998]
 [0.0016381914978914065]]","[[0.825]
 [0.2188361875]]","[[-1.6773942796875003]
 [-0.17797918407125393]]",[[1.1143392133281251]],1453.4605466089
0.13725,"[[0.031536125]
 [0.225535625]]","[[0.0345698125]
 [0.2127444375]]","[[-0.0030336875]
 [0.012791187499999999]]","[[1.3334760572031248]
 [-2.9791840712539065e-05]]","[[0.83975]
 [0.225535625]]","[[-1.3081457025156253]
 [-0.14053784485453127]]",[[1.119806625]],1453.45905919818
0.14225000000000002,"[[0.0338246875]
 [0.2321565625]]","[[0.036649562499999996]
 [0.22084118749999998]]","[[-0.0028248749999999997]
 [0.011315374999999999]]","[[1.3204185429748438]
 [-0.0014053784485453125]]","[[0.8544999999999999]
 [0.2321565625]]","[[-0.9035401288437501]
 [-0.09819620437666017]]",[[1.1280190151562501]],1453.51094161676
0.1475,"[[0.0361791875]
 [0.23872768749999998]]","[[0.038979]
 [0.22887787499999998]]","[[-0.0027998125]
 [0.0098498125]]","[[1.3114645987115625]
 [-0.0024819620437666018]]","[[0.87125]
 [0.23872768749999998]]","[[-0.40525464078125006]
 [-0.04442129921300392]]",[[1.1420475557812502]],1453.5023589273
0.15275,"[[0.038599499999999995]
 [0.2453075625]]","[[0.041311125]
 [0.237205125]]","[[-0.002711625]
 [0.0081024375]]","[[1.3074474535921876]
 [-0.0029442129921300395]]","[[0.89425]
 [0.2453075625]]","[[0.12383758439062502]
 [0.013583553643816408]]",[[1.1684959523125]],1453.09654769215
0.158,"[[0.04108625]
 [0.2520190625]]","[[0.04364325]
 [0.245532375]]","[[-0.002557]
 [0.006486687499999999]]","[[1.3087383758439064]
 [-0.0028641644635618363]]","[[0.9089999999999999]
 [0.2520190625]]","[[0.6303237226875001]
 [0.06989754998914063]]",[[1.188960697578125]],1453.39952705897
0.1635,"[[0.0436404375]
 [0.25880025]]","[[0.0462250625]
 [0.25379956249999996]]","[[-0.0025846249999999997]
 [0.0050006875]]","[[1.315053237226875]
 [-0.002051024500108593]]","[[0.92375]
 [0.25880025]]","[[1.1242857905468753]
 [0.1259878275287344]]",[[1.2142136495]],1453.47821534244
0.169,"[[0.0462630625]
 [0.2656971875]]","[[0.048807187499999995]
 [0.2621268125]]","[[-0.002544125]
 [0.0035703749999999998]]","[[1.3262428579054686]
 [-0.0007401217247126563]]","[[0.94275]
 [0.2656971875]]","[[1.6926324996093753]
 [0.19080958829333988]]",[[1.250122914609375]],1453.25322832588
0.17475000000000002,"[[0.04895575]
 [0.2728130625]]","[[0.0513916875]
 [0.2706845625]]","[[-0.0024359374999999997]
 [0.0021284999999999997]]","[[1.3431763249960935]
 [0.0011580958829333985]]","[[0.96175]
 [0.2728130625]]","[[2.2063051120937502]
 [0.25033301038775396]]",[[1.2922117038281251]],1452.9505407448
0.18025,"[[0.051720937499999994]
 [0.28020475]]","[[0.054226187499999995]
 [0.2792423125]]","[[-0.00250525]
 [0.0009624375]]","[[1.3653130511209377]
 [0.0037533301038775394]]","[[0.9704999999999999]
 [0.28020475]]","[[2.6297983634062505]
 [0.30370594268962503]]",[[1.3260258928125002]],1453.32053880909
0.186,"[[0.054561]
 [0.287784875]]","[[0.057060374999999997]
 [0.28774]]","[[-0.002499375]
 [4.4875e-05]]","[[1.3915479836340625]
 [0.006787059426896251]]","[[0.9854999999999999]
 [0.287784875]]","[[2.9867566362187508]
 [0.3488693191456485]]",[[1.3732657979062501]],1453.38253449536
